 poptyp | iso3cd |          cartolb
      1 | POL    | Warszawa (Warsaw)
      1 | MUS    | Port Louis
      1 | KAZ    | Nur-Sultan
      1 | ALB    | Tiranë (Tirana)
      1 | ZWE    | Harare
      3 | PYF    | Papeete
      1 | DJI    | Djibouti
      1 | BRB    | Bridgetown
      1 | TLS    | Dili
      1 | CHN    | Beijing
      1 | NRU    | Yaren
      1 | NOR    | Oslo
      1 | DEU    | Berlin
      1 | VAT    | Vatican
      1 | BOL    | Sucre
      1 | ATG    | St John’s
      1 | IRL    | Dublin
      1 | MKD    | Skopje
      1 | LKA    | Sri Jayewardenepura Kotte
      1 | CAF    | Bangui
      1 | AGO    | Luanda
      1 | CRI    | San José
      1 | UKR    | Kyiv
      1 | AUT    | Wien (Vienna)
(219 rows)


